DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
08/30/2015,20:17,QUEENS,11369,40.7585944,-73.8745114,"(40.7585944, -73.8745114)",94 STREET,32 AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3287227,PASSENGER VEHICLE,BICYCLE,,,
08/30/2015,6:38,MANHATTAN,10007,40.7152372,-74.0133794,"(40.7152372, -74.0133794)",WEST STREET,MURRAY STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3286679,TAXI,BICYCLE,,,
08/30/2015,6:20,MANHATTAN,10029,40.7861742,-73.945696,"(40.7861742, -73.945696)",2 AVENUE,EAST 99 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3287330,UNKNOWN,BICYCLE,,,
08/30/2015,22:20,QUEENS,11368,40.7572274,-73.8695039,"(40.7572274, -73.8695039)",NORTHERN BOULEVARD,99 STREET,,1,0,0,0,1,0,0,0,Pavement Slippery,Failure to Yield Right-of-Way,,,,3287228,PASSENGER VEHICLE,BICYCLE,,,
08/30/2015,9:25,MANHATTAN,10033,40.8474287,-73.9313942,"(40.8474287, -73.9313942)",AMSTERDAM AVENUE,WEST 180 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3287366,PASSENGER VEHICLE,BICYCLE,,,
08/30/2015,21:30,BROOKLYN,11203,40.6394962,-73.9339176,"(40.6394962, -73.9339176)",EAST 45 STREET,FOSTER AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3288843,PASSENGER VEHICLE,BICYCLE,,,
08/30/2015,13:00,BROOKLYN,11236,40.6343671,-73.8888251,"(40.6343671, -73.8888251)",SEAVIEW AVENUE,EAST 98 STREET,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3286943,PASSENGER VEHICLE,BICYCLE,,,
08/30/2015,15:15,MANHATTAN,10032,40.8384767,-73.9437415,"(40.8384767, -73.9437415)",FORT WASHINGTON AVENUE,WEST 163 STREET,,1,0,0,0,1,0,0,0,Backing Unsafely,Unspecified,,,,3287363,PASSENGER VEHICLE,BICYCLE,,,
08/30/2015,16:45,BROOKLYN,11220,40.6435664,-74.0047457,"(40.6435664, -74.0047457)",48 STREET,7 AVENUE,,1,0,0,0,1,0,0,0,Passenger Distraction,Physical Disability,,,,3287580,VAN,BICYCLE,,,
08/30/2015,17:15,MANHATTAN,10013,40.7180266,-74.0030447,"(40.7180266, -74.0030447)",BROADWAY,WHITE STREET,,1,0,0,0,1,0,0,0,Lost Consciousness,Unspecified,,,,3286699,TAXI,BICYCLE,,,
08/30/2015,18:30,BROOKLYN,11221,40.696184,-73.933829,"(40.696184, -73.933829)",BROADWAY,DITMARS STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3287629,PASSENGER VEHICLE,BICYCLE,,,
08/30/2015,1:10,BROOKLYN,11205,40.6968472,-73.9617482,"(40.6968472, -73.9617482)",CLASSON AVENUE,EMERSON PLACE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3287644,UNKNOWN,BICYCLE,,,
08/30/2015,1:48,BRONX,10467,40.875342,-73.8703135,"(40.875342, -73.8703135)",MAGENTA STREET,BRONX BOULEVARD,,1,0,0,0,1,0,0,0,Unspecified,,,,,3286839,UNKNOWN,,,,
08/29/2015,14:31,BROOKLYN,11224,40.5755134,-73.9823973,"(40.5755134, -73.9823973)",SURF AVENUE,WEST 15 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3287475,PASSENGER VEHICLE,BICYCLE,,,
08/29/2015,9:42,BRONX,10454,40.8071867,-73.9242798,"(40.8071867, -73.9242798)",EAST 135 STREET,WILLIS AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3286316,OTHER,BICYCLE,,,
08/29/2015,8:40,BRONX,10452,40.835432,-73.9233984,"(40.835432, -73.9233984)",JEROME AVENUE,SHAKESPEARE AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Other Vehicular,,,,3286822,UNKNOWN,BICYCLE,,,
08/29/2015,21:25,BROOKLYN,11233,40.6812097,-73.9224254,"(40.6812097, -73.9224254)",RALPH AVENUE,CHAUNCEY STREET,,1,0,0,0,1,0,0,0,Passenger Distraction,Passenger Distraction,,,,3287009,PASSENGER VEHICLE,BICYCLE,,,
08/29/2015,21:10,BROOKLYN,11217,40.6863108,-73.9744391,"(40.6863108, -73.9744391)",FULTON STREET,SOUTH PORTLAND AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3287034,SPORT UTILITY / STATION WAGON,BICYCLE,,,
08/29/2015,20:24,BROOKLYN,11233,40.6784006,-73.913073,"(40.6784006, -73.913073)",FULTON STREET,SOMERS STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,,3286969,PASSENGER VEHICLE,BICYCLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
08/29/2015,19:45,MANHATTAN,10010,40.7394976,-73.9826643,"(40.7394976, -73.9826643)",3 AVENUE,EAST 24 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3286721,VAN,BICYCLE,,,
08/29/2015,18:50,QUEENS,11377,40.73555,-73.8942168,"(40.73555, -73.8942168)",51 AVENUE,70 STREET,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3288431,LIVERY VEHICLE,BICYCLE,,,
08/29/2015,16:33,BRONX,10468,40.8622104,-73.8996443,"(40.8622104, -73.8996443)",EAST 188 STREET,MORRIS AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3286833,TAXI,BICYCLE,,,
