fac_type,lic_num,park_num,X,Y
Parking Garage,363056,40,-73.97968154,40.66555725
Parking Lot,363308,50,-73.91327186,40.76286893
Parking Lot,363400,25,-73.88334858,40.70122489
Parking Lot,363464,25,-73.95817675,40.71158977
Parking Garage,363695,5,-73.94612061,40.72436988
Parking Lot,363732,75,-73.96946773,40.69110093
Parking Garage,363740,165,-73.97968154,40.66555725
Parking Garage,363809,200,-73.93339948,40.68366871
Parking Garage,363881,85,-73.96807185,40.6941565
Parking Garage,363961,90,-73.99836234,40.69206331
Parking Garage,364407,25,-73.98705379,40.68702658
Parking Lot,364804,15,-73.92715985,40.68438847
Parking Lot,365110,75,-73.73864032,40.70991312
Parking Lot,365142,40,-73.97956719,40.6823121
Parking Lot,365547,300,-73.92054135,40.74489337
Parking Lot,365559,90,-73.87206493,40.67401318
Parking Lot,365621,45,-73.96939604,40.69073651
Parking Garage,365792,80,-73.8462843,40.72070726
Parking Lot,365949,50,-73.93866903,40.74570245
Parking Lot,366200,30,-73.99409469,40.68945359
Parking Lot,366315,20,-73.98911607,40.68783411
Parking Lot,366601,20,-73.95389812,40.73236869
Parking Lot,366728,16,-73.98992087,40.69467826
Parking Lot,366735,24,-73.98939319,40.68151354
Parking Lot,366862,50,-73.98791162,40.68736492
Parking Garage,367147,149,-74.00608072,40.71081599
Parking Garage,367195,54,-73.96914124,40.75598761
Parking Garage,367230,36,-73.97297648,40.75245653
Parking Garage,367274,38,-73.95989042,40.75844602
Parking Garage,367318,51,-73.96519642,40.76939976
Parking Lot,367420,25,-73.99634159,40.62659557
Parking Garage,367503,57,-73.95879439,40.76805111
Parking Garage,367518,106,-74.02756701,40.63874635
Parking Garage,367606,80,-73.96640629,40.75560597
Parking Garage,367613,27,-73.95925949,40.77169806
Parking Garage,367614,300,-73.9977275,40.76168358
Parking Lot,367661,18,-73.98676789,40.76417053
Parking Garage,367711,300,-73.97823299,40.74524297
Parking Garage,367720,157,-73.96147952,40.76755437
Parking Garage,367734,22,-73.95940479,40.78110893
Parking Garage,367783,15,-73.93327049,40.85666098
Parking Garage,367816,260,-73.9918055,40.76761165
Parking Garage,367866,67,-73.95823567,40.76621616
Parking Garage,367879,64,-73.955151,40.76744823
Parking Lot,367908,99,-74.008841,40.71830467
Parking Garage,367917,250,-73.9918055,40.76761165
Parking Garage,367970,62,-73.96132163,40.76917243
Parking Garage,367984,129,-73.95918394,40.76920533
Parking Garage,368099,750,-73.97451573,40.74907686
Parking Garage,368105,25,-73.91977648,40.67813044
Parking Garage,368146,72,-73.87835116,40.7387104
Parking Garage,368148,98,-73.87835116,40.7387104
Parking Garage,368157,55,-73.9872478,40.76857238
Parking Garage,368172,31,-73.96358664,40.76356316
Parking Garage,368185,42,-73.96954093,40.75943563
Parking Garage,368199,62,-74.17870635,40.56353796
Parking Garage,368201,47,-73.98696373,40.73566937
Parking Garage,368219,440,-73.98330461,40.76270999
Parking Garage,368238,80,-73.97652187,40.76318497
Parking Garage,368285,42,-73.8462843,40.72070726
Parking Garage,368300,378,-73.98691591,40.76839945
Parking Garage,368322,92,-73.97150067,40.75483974
Parking Garage,368337,77,-73.9833447,40.77440515
Parking Lot,368391,200,-73.93866903,40.74570245
Parking Garage,368400,168,-73.95155321,40.77783495
Parking Garage,368410,24,-73.97696454,40.7625673
Parking Garage,368455,36,-73.95459314,40.78073094
