Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
32574174,02/01/2016 12:06:44 AM,02/01/2016 06:48:33 AM,DOT,Department of Transportation,Street Sign - Missing,"No Parking, Standing, Stopping",Street,11229,201 ALLEN AVENUE,ALLEN AVENUE,ASTER COURT,BEVY COURT,,,ADDRESS,BROOKLYN,,N/A,Closed,02/15/2016 12:06:44 AM,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,02/01/2016 06:48:33 AM,15 BROOKLYN,BROOKLYN,1003616,156658,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.596645103991946,-73.9302655515551,"(40.596645103991946, -73.9302655515551)"
32570549,02/01/2016 12:12:00 AM,02/01/2016 01:15:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10301,,,,,VICTORY BOULEVARD,LITTLE CLOVE ROAD,INTERSECTION,STATEN ISLAND,,N/A,Closed,,,02/01/2016 01:15:00 AM,01 STATEN ISLAND,STATEN ISLAND,952773,162922,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.61380375315792,-74.1133737388642,"(40.61380375315792, -74.1133737388642)"
32572958,02/01/2016 12:14:00 AM,02/01/2016 12:54:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10301,,,,,VICTORY BOULEVARD,EDDY STREET,INTERSECTION,STATEN ISLAND,,N/A,Closed,,,02/01/2016 12:54:00 AM,01 STATEN ISLAND,STATEN ISLAND,958828,167557,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.62654529746493,-74.09158233448058,"(40.62654529746493, -74.09158233448058)"
32573576,02/01/2016 12:15:00 AM,02/01/2016 01:30:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10310,,,,,CLOVE ROAD,DELAFIELD AVENUE,INTERSECTION,STATEN ISLAND,,N/A,Closed,,,02/01/2016 01:30:00 AM,01 STATEN ISLAND,STATEN ISLAND,950047,168553,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.62924955478749,-74.1232207526046,"(40.62924955478749, -74.1232207526046)"
32572389,02/01/2016 12:17:00 AM,02/01/2016 02:35:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,,,MALCOLM X BLVD,122 ST W,INTERSECTION,,,N/A,Closed,,,02/01/2016 02:35:00 AM,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
32570548,02/01/2016 12:19:00 AM,02/01/2016 01:00:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,,,PARK AVE,62 ST E,INTERSECTION,,,N/A,Closed,,,02/01/2016 01:00:00 AM,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
32574044,02/01/2016 12:21:00 AM,02/01/2016 02:00:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,,,PARK AVE,119 ST E,INTERSECTION,,,N/A,Closed,,,02/01/2016 02:00:00 AM,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
32573047,02/01/2016 12:22:00 AM,02/01/2016 01:30:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,,,MADISON AVE,94 ST E,INTERSECTION,,,N/A,Closed,,,02/01/2016 01:30:00 AM,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
32572971,02/01/2016 12:27:00 AM,02/01/2016 01:05:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11235,,,,,CASS PLACE,CORBIN PLACE,INTERSECTION,BROOKLYN,,N/A,Closed,,,02/01/2016 01:05:00 AM,15 BROOKLYN,BROOKLYN,996766,151307,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.58197000074856,-73.95494141679582,"(40.58197000074856, -73.95494141679582)"
32575571,02/01/2016 12:32:00 AM,02/01/2016 12:42:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Base Door,,,,,,,WHITE PLAINS RD,237 ST E,INTERSECTION,,,N/A,Closed,,,02/01/2016 12:42:00 AM,Unspecified BRONX,BRONX,,,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
32576008,02/01/2016 12:32:16 AM,02/01/2016 10:30:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,10011,30 WEST   15 STREET,WEST   15 STREET,5 AVENUE,6 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,,02/01/2016 10:30:00 PM,05 MANHATTAN,MANHATTAN,985840,207845,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73716301118192,-73.99426254302267,"(40.73716301118192, -73.99426254302267)"
32573945,02/01/2016 12:40:25 AM,02/01/2016 08:44:42 PM,DOT,Department of Transportation,Street Condition,Plate Condition - Noisy,Street,10014,,,,,BANK STREET,WEST    4 STREET,INTERSECTION,NEW YORK,,N/A,Closed,02/11/2016 12:40:25 AM,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,02/01/2016 08:44:42 PM,02 MANHATTAN,MANHATTAN,983221,207727,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73683921342246,-74.00371309090373,"(40.73683921342246, -74.00371309090373)"
32570682,02/01/2016 12:44:00 AM,02/08/2016 12:29:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11234,2015 MILL AVENUE,MILL AVENUE,AVE T,AVE U,MILL AVENUE,AVENUE U,INTERSECTION,BROOKLYN,,N/A,Closed,,,02/08/2016 12:29:00 PM,18 BROOKLYN,BROOKLYN,1008161,163507,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.6154331042767,-73.91387535918699,"(40.6154331042767, -73.91387535918699)"
32572906,02/01/2016 12:50:00 AM,02/10/2016 09:10:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Post,,11237,,,,,WYCKOFF AVENUE,SUYDAM STREET,INTERSECTION,BROOKLYN,,N/A,Closed,,,02/10/2016 09:10:00 AM,04 BROOKLYN,BROOKLYN,1006241,196216,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.705217029080806,-73.92068429619007,"(40.705217029080806, -73.92068429619007)"
32579102,02/01/2016 12:53:00 AM,02/01/2016 01:13:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,,,,,,PAULDING AVE,224 ST E,INTERSECTION,,,N/A,Closed,,,02/01/2016 01:13:00 AM,Unspecified BRONX,BRONX,,,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
32573686,02/01/2016 12:57:00 AM,02/01/2016 01:45:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11231,455 UNION STREET,UNION STREET,BOND ST,HOYT ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,,02/01/2016 01:45:00 PM,06 BROOKLYN,BROOKLYN,986876,187140,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.68033244451847,-73.9905322500644,"(40.68033244451847, -73.9905322500644)"
32575875,02/01/2016 01:14:00 AM,02/03/2016 11:40:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,329 29 ST W,29 ST W,8 AVE,9 AVE,29 ST W,9 AVE,INTERSECTION,,,N/A,Closed,,,02/03/2016 11:40:00 PM,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
32570317,02/01/2016 01:18:49 AM,02/03/2016 04:59:00 PM,DOT,Department of Transportation,Street Condition,Line/Marking - Faded,Street,11234,,,,,MILL AVENUE,AVENUE U,INTERSECTION,BROOKLYN,,N/A,Closed,03/02/2016 01:18:49 AM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",02/03/2016 04:59:00 PM,18 BROOKLYN,BROOKLYN,1008161,163507,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6154331042767,-73.91387535918699,"(40.6154331042767, -73.91387535918699)"
32581124,02/01/2016 01:20:00 AM,02/05/2016 12:04:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,VAN WYCK EXPY,VAN WYCK EXPY,NONAME ST,,,,BLOCKFACE,,,N/A,Closed,,,02/05/2016 12:04:00 PM,Unspecified QUEENS,QUEENS,,,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
